,codigo_postal,localidad,province
304,2717,ACEVEDO,Buenos Aires
305,2718,LIERRA ADJEMIRO,Buenos Aires
306,2720,COLON,Santa Fé
307,2721,EL ARBOLITO,Buenos Aires
308,2722,WHEELWRIGHT,Not Found
309,2723,ESTANCIA LAS GAMAS,Santa Fé
310,2725,HUGHES,Santa Fé
311,2726,LABORDEBOY,Santa Fé
312,2728,MELINCUE,Santa Fé
313,2729,CARRERAS,Not Found
314,2732,4 DE FEBRERO,Santa Fé
315,2740,ALMACEN LA COLINA,Buenos Aires
316,2741,EL RETIRO,Buenos Aires
317,2743,ARROYO DULCE,Buenos Aires
318,2745,GAHAN,Buenos Aires
319,2747,CORONEL ISLEÑOS,Buenos Aires
320,2751,ALMACEN CASTRO,Buenos Aires
321,2752,ALMACEN EL DESCANSO,Buenos Aires
322,2754,CAMPO CRISOL,Buenos Aires
323,2760,COLONIA LOS TRES USARIS,Buenos Aires
324,2761,ESTANCIA SANTA CATALINA,Buenos Aires
325,2763,FLAMENCO,Buenos Aires
326,2764,CAMPO LA NENA,Buenos Aires
327,2800,ARROYO AGUILA NEGRA,Buenos Aires
328,2801,ALTO VERDE,Buenos Aires
329,2802,LOMAS DEL RIO LUJAN,Buenos Aires
330,2804,CAMPANA,Buenos Aires
331,2805,ARROYO ALELI,Buenos Aires
332,2806,LAS PALMAS,Buenos Aires
333,2808,ATUCHA,Not Found
334,2812,CAPILLA DEL SEÑOR,Buenos Aires
335,2813,ARROYO DE LA CRUZ,Not Found
336,2814,ALTO LOS CARDALES,Buenos Aires
337,2820,COLONIA EL POTRERO,Entre Ríos
338,2821,ARROYO DEL CURA,Entre Ríos
339,2823,AERO CLUB CANAL,Entre Ríos
340,2824,BRITOS,Entre Ríos
341,2826,ALDEA SAN ANTONIO,Entre Ríos
342,2828,COLONIA NUEVA MONTEVIDEO,Entre Ríos
343,2840,ALBARDON,Entre Ríos
344,2841,ALDEA ASUNCION,Entre Ríos
345,2843,GENERAL GALARZA,Entre Ríos
346,2845,COLONIA DUPORTAL,Entre Ríos
347,2846,ANAHI,Entre Ríos
348,2848,BERISSO,Entre Ríos
349,2852,ALARCON,Entre Ríos
350,2854,DOS HERMANAS,Entre Ríos
351,2900,SAN NICOLAS DE LOS ARROYOS,Not Found
352,2903,EREZCANO,Not Found
353,2905,GENERAL ROJO,Not Found
354,2907,GENERAL CONESA,Buenos Aires
355,2909,ESTANCIAS,Buenos Aires
356,2912,LA QUERENCIA,Buenos Aires
357,2914,COSTA BRAVA,Buenos Aires
358,2915,AGUIRREZABALA,Buenos Aires
359,2916,EL JUPITER,Buenos Aires
360,2918,EMPALME VILLA CONSTITUCION,Santa Fé
361,2919,COPACABANA,Santa Fé
362,2921,GODOY,Santa Fé
363,2930,LA BUANA MOZA,Buenos Aires
364,2931,ISLA LOS LAURELES,Buenos Aires
365,2933,COLONIA VELEZ,Buenos Aires
366,2935,ALGARROBO,Buenos Aires
367,2938,ALSINA,Not Found
368,2942,BARADERO,Buenos Aires
369,2943,IRENEO PORTELA,Not Found
370,2944,RIO TALA,Buenos Aires
371,2946,EL ESPINILLO,Buenos Aires
372,3000,BARRANQUITAS,Santa Fé
373,3001,ALTO VERDE,Santa Fé
374,3003,COLONIA LOS ZAPALLOS,Santa Fé
375,3005,COLONIA CALIFORNIA,Santa Fé
376,3007,EMPALME SAN CARLOS,Not Found
377,3009,EL TROPEZON,Santa Fé
378,3011,CAMPO MAGNIN,Santa Fé
379,3013,COLONIA MATILDE,Santa Fé
380,3014,ANGEL GALLARDO,Santa Fé
381,3016,SAN JOSE,Santa Fé
382,3017,BAJO LAS TUNAS,Santa Fé
383,3018,CANDIOTI,Santa Fé
384,3020,CAMPO SANTO DOMINGO,Santa Fé
385,3021,CAMPO ANDINO,Santa Fé
386,3023,CULULU,Santa Fé
387,3025,COLONIA CLARA,Santa Fé
388,3027,LA PELADA,Not Found
389,3029,COLONIA ADOLFO ALSINA,Santa Fé
390,3032,NELSON,Not Found
391,3036,AROMOS,Santa Fé
392,3038,CAYASTACITO,Santa Fé
393,3040,ASUNCION MARIA,Santa Fé
394,3041,CACIQUE ARIACAIQUIN,Santa Fé
395,3042,ABIPONES,Santa Fé
396,3044,GOBERNADOR CRESPO,Not Found
397,3045,CAMPO ZAVALLA,Santa Fé
398,3046,ARRASCAETA,Santa Fé
399,3048,ANGELONI,Santa Fé
400,3050,CALCHAQUI,Santa Fé
401,3051,ALEJANDRA,Santa Fé
402,3052,CAÑADITA,Santa Fé
403,3054,COLONIA LA NEGRA,Santa Fé
404,3056,CAMPO COUBERT,Santa Fé
405,3057,ESTANCIA LAS GAMAS,Santa Fé
406,3060,CAMPO SAN JOSE,Santa Fé
407,3061,ANTONIO PINI,Santa Fé
408,3066,CAMPO GARAY,Santa Fé
409,3070,DHO,Santa Fé
410,3071,AGUARA GRANDE,Santa Fé
411,3072,LA LUCILA,Santa Fé
412,3074,COLONIA EL SIMBOL,Santa Fé
413,3076,HUANQUEROS,Santa Fé
414,3080,COLONIA PUJOL,Santa Fé
415,3081,CAVOUR,Santa Fé
416,3083,GRUTLY,Santa Fé
417,3085,PILAR,Not Found
418,3087,FELICIA,Santa Fé
419,3100,AVENIDA EJERCITO PARANA,Entre Ríos
420,3101,ALDEA BRASILERA,Entre Ríos
421,3103,ALDEA SANTAFECINA,Entre Ríos
422,3105,DIAMANTE,Entre Ríos
423,3107,COLONIA AVELLANEDA,Entre Ríos
424,3109,COLONIA CENTENARIO,Entre Ríos
425,3111,ALMACEN CRISTIAN SCHUBERT,Entre Ríos
426,3112,COLONIA LOMA NEGRA,Not Found
427,3113,COLONIA CELINA,Entre Ríos
428,3114,ALDEA MARIA LUISA,Entre Ríos
429,3116,ALDEA CHALECO,Entre Ríos
430,3117,ALDEA SAN ANTONIO,Entre Ríos
431,3118,CENTRO COMUNITARIO CNIA NUE,Entre Ríos
432,3122,ARROYO CORRALITO,Entre Ríos
433,3123,ALDEA SANTA MARIA,Entre Ríos
434,3125,ANTONIO TOMAS,Entre Ríos
435,3127,ALCETE,Entre Ríos
436,3128,COLONIA BERRO,Not Found
437,3129,COLONIA HERNANDARIAS,Entre Ríos
438,3132,EL PINGO,Entre Ríos
439,3133,ARROYO BURGOS,Entre Ríos
440,3134,ANTONIO TOMAS SUD,Entre Ríos
441,3136,ALCARAZ NORTE,Entre Ríos
442,3137,ALCARAZ SUD,Entre Ríos
443,3138,ALCARAZ 2DO,Entre Ríos
444,3142,ALCARACITO,Entre Ríos
445,3144,ALCARAZ 1RO,Entre Ríos
446,3150,ALGARROBITOS 1RO,Entre Ríos
447,3151,ANTELO,Entre Ríos
448,3153,KILMETRO 165,Entre Ríos
449,3155,COSTA DEL NOGOYA,Entre Ríos
450,3156,BETBEDER,Entre Ríos
451,3158,20 DE SEPTIEMBRE,Entre Ríos
452,3162,ARANGUREN,Entre Ríos
453,3164,COLONIA RIVAS,Entre Ríos
454,3170,ALBERTO GERCHUNOFF,Entre Ríos
455,3172,KILOMETRO 208,Entre Ríos
456,3174,ALTAMIRANO SUD,Entre Ríos
457,3176,ESTACION SOLA,Entre Ríos
458,3177,ALTAMIRANO NORTE,Entre Ríos
459,3180,DIEGO LOPEZ,Entre Ríos
460,3181,ARROYO MOREIRA,Entre Ríos
461,3183,ALBARIÑO,Entre Ríos
462,3185,COLONIA LA MARTA,Corrientes
463,3187,ATENCIO,Entre Ríos
464,3188,COLONIA FALCO,Entre Ríos
465,3190,ARROYO HONDO,Entre Ríos
466,3191,ARROYO CEIBO,Entre Ríos
467,3192,COLONIA BERTOZZI,Entre Ríos
468,3194,PASO TELEGRAFO,Corrientes
469,3196,ARROYO VEGA,Corrientes
470,3197,ABRA GUAZU,Corrientes
471,3199,LOS LAURELES,Corrientes
472,3200,COLONIA LOS SAUCES,Entre Ríos
473,3201,CAMBA PASO,Entre Ríos
474,3203,ARROYO GRANDE,Entre Ríos
475,3204,AYUI PARADA,Entre Ríos
476,3206,BELLA UNION PARAJE,Entre Ríos
477,3208,COLONIA ENSANCHE SAUCE,Entre Ríos
478,3212,ARROYO EL MOCHO,Entre Ríos
479,3214,ESTACION YERUA,Entre Ríos
480,3216,ARROYO HONDO,Entre Ríos
481,3218,ARROYO PALMAR,Entre Ríos
482,3220,ARROYO MANGANGA,Corrientes
483,3222,BUEN RETIRO,Corrientes
484,3224,LA BLANQUEADA,Corrientes
485,3226,BUENA VISTA,Corrientes
486,3228,CABI MONDA,Entre Ríos
487,3229,COLONIA FREITAS,Entre Ríos
488,3230,ARBOL SOLO,Corrientes
489,3231,COLONIA AROCENA INA,Corrientes
490,3232,CABRED,Corrientes
491,3234,BONPLAND,Corrientes
492,3240,COLONIA EGIDO,Entre Ríos
493,3241,CAMPO DE VILLAMIL,Entre Ríos
494,3244,COLONIA BELGA AMERICANA,Entre Ríos
495,3246,ACHIRAS,Entre Ríos
496,3248,CARAGUATA,Entre Ríos
497,3252,ALDEA SAN JORGE,Entre Ríos
498,3254,COLONIA LA BLANQUITA,Entre Ríos
499,3260,ARROYO MOLINO,Entre Ríos
500,3261,CENTELLA,Entre Ríos
501,3262,CASEROS,Entre Ríos
502,3263,1 DE MAYO,Entre Ríos
503,3265,ARROYO CARABALLO,Entre Ríos
504,3267,CAÑADA DE LAS OVEJAS,Entre Ríos
505,3269,ARROYO BARU,Entre Ríos
506,3272,COLONIA 1 DE MAYO,Entre Ríos
507,3280,ARROYO URQUIZA,Entre Ríos
508,3281,CALERA,Entre Ríos
509,3283,COLONIA MABRAGAÑA,Entre Ríos
510,3285,BERDUC,Entre Ríos
511,3287,ALDEA SAN GREGORIO,Entre Ríos
512,3300,ARROYO,Misiones
